                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    142,                0.76121,                0.62241,                0.99958,                0.96486,                 0.9084,                0.96953,                 0.8484,                0.48545,                0.31863,                0.83184,              0.0072082,              0.0072082,              0.0072082
                    143,                0.77358,                0.63936,                 1.0052,                0.96464,                0.90859,                0.96965,                0.84861,                0.48509,                0.31831,                0.83166,              0.0071884,              0.0071884,              0.0071884
                    144,                0.76575,                0.63194,                 1.0013,                0.96581,                0.90798,                0.96974,                 0.8486,                0.48482,                0.31793,                0.83153,              0.0071686,              0.0071686,              0.0071686
                    145,                0.77328,                0.63056,                 1.0064,                0.96666,                 0.9074,                0.96978,                0.84886,                0.48438,                0.31754,                0.83126,              0.0071488,              0.0071488,              0.0071488
                    146,                0.77475,                0.63643,                 1.0039,                0.96601,                0.90869,                 0.9701,                0.84909,                0.48404,                0.31719,                0.83109,               0.007129,               0.007129,               0.007129
                    147,                0.76391,                0.62787,                0.99902,                0.96565,                0.90928,                0.97005,                0.84912,                0.48407,                0.31695,                0.83108,              0.0071092,              0.0071092,              0.0071092
                    148,                0.76888,                0.63256,                0.99882,                0.96552,                0.90964,                0.97022,                0.84937,                0.48394,                0.31652,                0.83093,              0.0070894,              0.0070894,              0.0070894
                    149,                0.76457,                0.63212,                0.99879,                0.96503,                0.90988,                0.97016,                0.84943,                0.48358,                0.31609,                 0.8307,              0.0070696,              0.0070696,              0.0070696
                    150,                0.76902,                0.63515,                 1.0014,                0.96421,                0.91072,                0.97024,                0.84987,                0.48314,                0.31582,                0.83046,              0.0070498,              0.0070498,              0.0070498
                    151,                0.76569,                0.63187,                0.99867,                0.96394,                0.91133,                0.97029,                 0.8501,                0.48253,                0.31541,                0.83008,                0.00703,                0.00703,                0.00703
                    152,                0.76009,                0.62354,                 1.0017,                0.96389,                0.91184,                0.97029,                0.85031,                0.48204,                0.31509,                0.82982,              0.0070102,              0.0070102,              0.0070102
                    153,                0.76626,                0.63668,                 1.0021,                  0.965,                0.91105,                0.97033,                 0.8506,                0.48146,                0.31451,                0.82948,              0.0069904,              0.0069904,              0.0069904
